\\NASSY\Music\Punk Goes Pop, Vol 6 [15 Tracks] (320kbps)\15. Animals.mp3	3
\\NASSY\Music\Best of Rock Collection (1980-1989) MP3\Disc 4\09. The Clash - Should I Stay or Should I Go (1982).mp3	1
\\NASSY\Music\Rage Against The Machine\B Side, Rare et Live\Rage Against The Machine - In My Eyes (Minor Threat Cover).mp3	-999
\\NASSY\Music\Aerosmith - Complete Discography\1989 - Pump\06. Dulcimer stomp_The other side.mp3	1
\\NASSY\Music\AVENGED SEVENFOLD - DISCOGRAPHY (1999-13) [CHANNEL NEO]\[2005] City Of Evil\09 - Strength of the World.mp3	1
\\NASSY\Music\Weezer [Discography]\2009 - Raditude [Japanese Edition 2CD]\Disc 2\02 - Run Over By A Truck.mp3	-1
\\NASSY\Music\System Of A Down\Toxicity\14 - Aerials.mp3	5
\\NASSY\Music\AVENGED SEVENFOLD - DISCOGRAPHY (1999-13) [CHANNEL NEO]\[2005] City Of Evil\08 - The Wicked End.mp3	-2
\\NASSY\Music\More Classic Rock Music 2 - Compilation Mix - Playlist\The Beatles - Something.mp3	2
\\NASSY\Music\Various Artist -  Punk Goes Pop (Volume 3)\14-we_came_as_romans-my_love.mp3	0
\\NASSY\Music\FOO FIGHTERS - DISCOGRAPHY (1995-14) [CHANNEL NEO]\[1997] The Colour And The Shape (10th Anniversery Edition)\11 - Everlong.mp3	99
\\NASSY\Music\Metallica - Discography 1983-2008 (19 Albums, 23 CDs)\Metallica - 1988 - And Justice For All\04 - One.mp3	1
\\NASSY\Music\AVENGED SEVENFOLD - DISCOGRAPHY (1999-13) [CHANNEL NEO]\[2007] Avenged Sevenfold\02 - Almost Easy.mp3	1
\\NASSY\Music\Weezer [Discography]\2009 - Raditude [Japanese Edition 2CD]\Disc 1\07 - Love Is The Answer.mp3	-1
\\NASSY\Music\Audioslave - Discografia\2005 - Out Of Exile\04 - Doesnt Remind Me.mp3	1
\\NASSY\Music\Punk Goes Pop 4 [CDRip][320kbps]\09 Love the Way You Lie - A Skylit Drive.mp3	2
\\NASSY\Music\Aerosmith - Complete Discography\2006 - Devil's Got A New Disguise_ The Very Best Of Aerosmith\01.Dream On.mp3	99
\\NASSY\Music\V.A.The.All.Time.Greatest.Rock.Songs.Of.The.60s.70s.80s.And.90s-TDG\Cd2-TDG\17.Are.You.Gonna.Go.My.Way.Lenny.Kravitz-TDG.mp3	99
\\NASSY\Music\System Of A Down\Toxicity\12 - Toxicity.mp3	1
\\NASSY\Music\Best of Rock Collection (1980-1989) MP3\R.H.C.P.-Discography.1984-2013.MP3.320\1. Studio Albums\2006 - Stadium Arcadium\1-Jupiter\01. Dani California.mp3	99
\\NASSY\Music\Blink 182 Discography\(1999)Enema Of The State\08 - All The Small Things.mp3	15
\\NASSY\Music\R.H.C.P.-Discography.1984-2013.MP3.320\4. Singles\2000 - Road Trippin' (Single  2 CD)\CD3\04. Under The Bridge (Live).mp3	-99
\\NASSY\Music\Green Day Complete Official Discography (1990-2012) [WwW.LoKoTorrents.CoM]\Compilation (Official)\2010 - The Original Broadway Cast Recording American Idiot\Disc 2\08. Wake Me Up When September Ends.mp3	1
\\NASSY\Music\Ramones\(1976) Ramones\04 - I Wanna Be Your Boyfriend.mp3	-1
\\NASSY\Music\3 Doors Down - The Greatest Hits (2012)\02 - When I'm Gone [Remaster].mp3	1
\\NASSY\Music\Radiohead\Albums\Pablo Honey\02 - Creep.mp3	10
\\NASSY\Music\R.E.M. - In Time-The Best Of REM 1988-2003\06-rem-losing_my_religion.mp3	99
